Constituent#,Name,Amplitude,Phase,Speed
1,M2,6.545,282.5,28.9841042
2,S2,2.231,315.5,30.0000000
3,N2,1.330,258.2,28.4397295
4,K1,1.706,265.0,15.0410686
5,M4,0.126,8.9,57.9682084
6,O1,1.020,250.2,13.9430356
7,M6,0.015,239.8,86.9523127
8,MK3,0.088,255.2,44.0251729
9,S4,0.017,55.6,60.0000000
10,MN4,0.048,335.8,57.4238337
11,NU2,0.257,262.8,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.146,251.7,27.9682084
14,2N2,0.155,231.4,27.8953548
15,OO1,0.058,294.0,16.1391017
16,LAM2,0.044,285.7,29.4556253
17,S1,0.025,55.6,15.0000000
18,M1,0.057,281.0,14.4966939
19,J1,0.101,277.7,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.264,255.6,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.081,176.1,1.0980331
25,RHO,0.034,241.4,13.4715145
26,Q1,0.179,243.7,13.3986609
27,T2,0.117,309.6,29.9589333
28,R2,0.014,9.6,30.0410667
29,2Q1,0.019,241.6,12.8542862
30,P1,0.539,263.7,14.9589314
31,2SM2,0.017,96.6,31.0158958
32,M3,0.043,0.8,43.4761563
33,L2,0.149,289.2,29.5284789
34,2MK3,0.066,197.3,42.9271398
35,K2,0.623,309.0,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.071,47.7,58.9841042
