Constituent#,Name,Amplitude,Phase,Speed
1,M2,6.673,93.4,28.9841042
2,S2,1.014,131.0,30.0000000
3,N2,1.463,63.3,28.4397295
4,K1,0.489,191.9,15.0410686
5,M4,0.059,153.2,57.9682084
6,O1,0.354,170.7,13.9430356
7,M6,0.033,222.1,86.9523127
8,MK3,0.010,299.6,44.0251729
9,S4,0.007,279.3,60.0000000
10,MN4,0.023,140.6,57.4238337
11,NU2,0.335,66.7,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.020,76.7,27.9682084
14,2N2,0.125,33.9,27.8953548
15,OO1,0.026,256.1,16.1391017
16,LAM2,0.148,119.1,29.4556253
17,S1,0.016,156.8,15.0000000
18,M1,0.016,204.8,14.4966939
19,J1,0.020,205.4,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.052,127.6,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.026,140.0,13.4715145
26,Q1,0.062,145.1,13.3986609
27,T2,0.089,106.8,29.9589333
28,R2,0.020,12.9,30.0410667
29,2Q1,0.016,204.0,12.8542862
30,P1,0.184,188.7,14.9589314
31,2SM2,0.010,58.2,31.0158958
32,M3,0.003,248.1,43.4761563
33,L2,0.436,119.8,29.5284789
34,2MK3,0.020,295.3,42.9271398
35,K2,0.276,134.8,30.0821373
36,M8,0.003,311.2,115.9364166
37,MS4,0.026,211.6,58.9841042
