Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.367,17.8,28.9841042
2,S2,0.061,37.1,30.0000000
3,N2,0.083,353.2,28.4397295
4,K1,0.251,222.5,15.0410686
5,M4,0.004,303.6,57.9682084
6,O1,0.197,223.3,13.9430356
7,M6,0.003,295.8,86.9523127
8,MK3,0.002,95.8,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.001,135.8,57.4238337
11,NU2,0.014,353.6,28.5125831
12,S6,0.001,174.7,90.0000000
13,MU2,0.012,26.7,27.9682084
14,2N2,0.011,346.5,27.8953548
15,OO1,0.010,234.5,16.1391017
16,LAM2,0.005,38.4,29.4556253
17,S1,0.024,250.7,15.0000000
18,M1,0.011,248.4,14.4966939
19,J1,0.015,220.2,15.5854433
20,MM,0.026,332.1,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.137,197.7,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.055,350.5,1.0980331
25,RHO,0.009,215.1,13.4715145
26,Q1,0.035,208.6,13.3986609
27,T2,0.008,11.7,29.9589333
28,R2,0.001,153.4,30.0410667
29,2Q1,0.003,228.5,12.8542862
30,P1,0.075,223.6,14.9589314
31,2SM2,0.002,44.1,31.0158958
32,M3,0.003,21.9,43.4761563
33,L2,0.013,33.3,29.5284789
34,2MK3,0.002,7.1,42.9271398
35,K2,0.016,33.6,30.0821373
36,M8,0.001,215.4,115.9364166
37,MS4,0.003,3.1,58.9841042
