Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.033,53.4,28.9841042
2,S2,0.007,81.8,30.0000000
3,N2,0.007,24.2,28.4397295
4,K1,0.180,123.8,15.0410686
5,M4,0.003,309.8,57.9682084
6,O1,0.164,112.9,13.9430356
7,M6,0.000,0.0,86.9523127
8,MK3,0.003,61.1,44.0251729
9,S4,0.003,191.7,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.003,50.8,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.003,232.7,27.9682084
14,2N2,0.007,198.9,27.8953548
15,OO1,0.013,174.2,16.1391017
16,LAM2,0.000,0.0,29.4556253
17,S1,0.020,147.7,15.0000000
18,M1,0.010,207.8,14.4966939
19,J1,0.010,160.2,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.226,58.8,0.0821373
22,SA,0.180,196.1,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.013,92.2,13.4715145
26,Q1,0.036,92.2,13.3986609
27,T2,0.007,257.6,29.9589333
28,R2,0.003,148.9,30.0410667
29,2Q1,0.013,287.6,12.8542862
30,P1,0.043,116.8,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.003,217.6,43.4761563
33,L2,0.003,39.4,29.5284789
34,2MK3,0.007,37.8,42.9271398
35,K2,0.016,50.0,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
