Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.013,19.6,28.9841042
2,S2,0.007,13.2,30.0000000
3,N2,0.003,348.6,28.4397295
4,K1,0.112,118.4,15.0410686
5,M4,0.003,127.9,57.9682084
6,O1,0.115,108.0,13.9430356
7,M6,0.000,0.0,86.9523127
8,MK3,0.003,163.2,44.0251729
9,S4,0.003,202.6,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.000,0.0,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.003,161.3,27.9682084
14,2N2,0.003,263.5,27.8953548
15,OO1,0.007,132.5,16.1391017
16,LAM2,0.000,0.0,29.4556253
17,S1,0.026,26.6,15.0000000
18,M1,0.010,240.8,14.4966939
19,J1,0.003,70.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.243,53.3,0.0821373
22,SA,0.187,154.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.007,73.9,13.4715145
26,Q1,0.023,83.4,13.3986609
27,T2,0.003,39.1,29.9589333
28,R2,0.003,201.5,30.0410667
29,2Q1,0.007,294.5,12.8542862
30,P1,0.036,122.3,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.000,0.0,29.5284789
34,2MK3,0.003,158.1,42.9271398
35,K2,0.003,59.5,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
