Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.407,168.9,28.9841042
2,S2,0.046,202.3,30.0000000
3,N2,0.075,155.4,28.4397295
4,K1,0.069,302.8,15.0410686
5,M4,0.023,247.3,57.9682084
6,O1,0.059,305.6,13.9430356
7,M6,0.033,233.8,86.9523127
8,MK3,0.010,234.8,44.0251729
9,S4,0.003,229.8,60.0000000
10,MN4,0.007,221.5,57.4238337
11,NU2,0.020,146.9,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.010,298.4,27.9682084
14,2N2,0.010,114.3,27.8953548
15,OO1,0.000,0.0,16.1391017
16,LAM2,0.013,179.1,29.4556253
17,S1,0.016,252.9,15.0000000
18,M1,0.007,45.5,14.4966939
19,J1,0.000,0.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.003,297.4,13.4715145
26,Q1,0.010,312.2,13.3986609
27,T2,0.007,176.3,29.9589333
28,R2,0.000,0.0,30.0410667
29,2Q1,0.003,253.5,12.8542862
30,P1,0.016,295.8,14.9589314
31,2SM2,0.003,34.9,31.0158958
32,M3,0.003,332.1,43.4761563
33,L2,0.030,162.8,29.5284789
34,2MK3,0.013,227.0,42.9271398
35,K2,0.013,196.4,30.0821373
36,M8,0.007,317.1,115.9364166
37,MS4,0.003,300.4,58.9841042
