Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.54,82.5,28.984104
2,S2,0.07,106.2,30.0
3,N2,0.1,60.4,28.43973
4,K1,0.14,236.2,15.041069
5,M4,0.02,110.2,57.96821
6,O1,0.11,244.1,13.943035
7,M6,0.01,219.0,86.95232
8,MK3,0.0,0.0,44.025173
9,S4,0.0,143.5,60.0
10,MN4,0.0,0.0,57.423832
11,NU2,0.02,63.3,28.512583
12,S6,0.0,0.0,90.0
13,MU2,0.01,58.8,27.968208
14,2N2,0.01,38.2,27.895355
15,OO1,0.0,228.3,16.139101
16,LAM2,0.0,93.5,29.455626
17,S1,0.0,0.0,15.0
18,M1,0.01,240.1,14.496694
19,J1,0.01,232.3,15.5854435
20,MM,0.0,0.0,0.5443747
21,SSA,0.09,42.9,0.0821373
22,SA,0.22,129.1,0.0410686
23,MSF,0.0,0.0,1.0158958
24,MF,0.0,0.0,1.0980331
25,RHO,0.0,247.5,13.471515
26,Q1,0.02,248.0,13.398661
27,T2,0.0,105.2,29.958933
28,R2,0.0,0.0,30.041067
29,2Q1,0.0,252.0,12.854286
30,P1,0.05,236.8,14.958931
31,2SM2,0.0,0.0,31.015896
32,M3,0.0,0.0,43.47616
33,L2,0.02,104.7,29.528479
34,2MK3,0.0,0.0,42.92714
35,K2,0.02,108.1,30.082138
36,M8,0.0,213.4,115.93642
37,MS4,0.0,0.0,58.984104
