Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.978,222.5,28.984104
2,S2,0.197,324.4,30
3,N2,0.171,167.2,28.43973
4,K1,0.344,345.3,15.041069
5,M4,0.023,22.6,57.96821
6,O1,0.203,317.4,13.943035
7,M6,0.01,68.2,86.95232
8,MK3,0,0,44.025173
9,S4,0.003,34.1,60
10,MN4,0,0,57.423832
11,NU2,0.033,174.7,28.512583
12,S6,0.003,237.8,90
13,MU2,0.023,120.8,27.968208
14,2N2,0.023,111.8,27.895355
15,OO1,0.01,13.3,16.139101
16,LAM2,0.007,269.8,29.455626
17,S1,0,0,15
18,M1,0.013,331.5,14.496694
19,J1,0.016,359.2,15.5854435
20,MM,0,0,0.5443747
21,SSA,0,0,0.0821373
22,SA,0,0,0.0410686
23,MSF,0,0,1.0158958
24,MF,0,0,1.0980331
25,RHO,0.007,305.2,13.471515
26,Q1,0.039,303.4,13.398661
27,T2,0.013,320.4,29.958933
28,R2,0,329.7,30.041067
29,2Q1,0.007,289.5,12.854286
30,P1,0.115,343.2,14.958931
31,2SM2,0,0,31.015896
32,M3,0,0,43.47616
33,L2,0.026,277.3,29.528479
34,2MK3,0,0,42.92714
35,K2,0.052,332.7,30.082138
36,M8,0.007,57.5,115.93642
37,MS4,0,0,58.984104
