Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.391,340.6,28.9841042
2,S2,0.335,15.3,30.0000000
3,N2,0.246,318.1,28.4397295
4,K1,0.571,314.3,15.0410686
5,M4,0.269,249.0,57.9682084
6,O1,0.299,314.8,13.9430356
7,M6,0.016,175.7,86.9523127
8,MK3,0.194,214.9,44.0251729
9,S4,0.010,2.6,60.0000000
10,MN4,0.092,228.0,57.4238337
11,NU2,0.049,314.3,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.046,90.7,27.9682084
14,2N2,0.023,283.4,27.8953548
15,OO1,0.010,29.2,16.1391017
16,LAM2,0.046,338.0,29.4556253
17,S1,0.033,114.9,15.0000000
18,M1,0.026,23.2,14.4966939
19,J1,0.020,7.9,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.003,332.0,13.4715145
26,Q1,0.062,324.8,13.3986609
27,T2,0.049,31.0,29.9589333
28,R2,0.016,74.3,30.0410667
29,2Q1,0.010,288.3,12.8542862
30,P1,0.135,300.8,14.9589314
31,2SM2,0.023,204.6,31.0158958
32,M3,0.016,135.8,43.4761563
33,L2,0.092,348.3,29.5284789
34,2MK3,0.157,203.9,42.9271398
35,K2,0.141,1.8,30.0821373
36,M8,0.010,273.8,115.9364166
37,MS4,0.135,284.3,58.9841042
