Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.138,37.2,28.9841042
2,S2,0.026,73.8,30.0000000
3,N2,0.033,16.5,28.4397295
4,K1,0.033,248.6,15.0410686
5,M4,0.013,322.6,57.9682084
6,O1,0.030,214.7,13.9430356
7,M6,0.010,148.8,86.9523127
8,MK3,0.007,169.3,44.0251729
9,S4,0.003,62.0,60.0000000
10,MN4,0.007,314.0,57.4238337
11,NU2,0.007,12.1,28.5125831
12,S6,0.003,248.5,90.0000000
13,MU2,0.000,0.0,27.9682084
14,2N2,0.003,10.0,27.8953548
15,OO1,0.003,234.2,16.1391017
16,LAM2,0.000,0.0,29.4556253
17,S1,0.033,346.3,15.0000000
18,M1,0.000,0.0,14.4966939
19,J1,0.003,275.7,15.5854433
20,MM,0.098,63.3,0.5443747
21,SSA,0.144,7.1,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.003,147.7,13.4715145
26,Q1,0.010,166.5,13.3986609
27,T2,0.007,256.7,29.9589333
28,R2,0.007,47.3,30.0410667
29,2Q1,0.003,69.9,12.8542862
30,P1,0.016,258.6,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.007,56.2,29.5284789
34,2MK3,0.003,177.0,42.9271398
35,K2,0.007,26.0,30.0821373
36,M8,0.003,166.0,115.9364166
37,MS4,0.003,340.7,58.9841042
