Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.571,346.6,28.9841042
2,S2,0.079,8.0,30.0000000
3,N2,0.121,324.1,28.4397295
4,K1,0.226,3.3,15.0410686
5,M4,0.013,215.1,57.9682084
6,O1,0.190,14.0,13.9430356
7,M6,0.000,0.0,86.9523127
8,MK3,0.013,173.5,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.020,323.7,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.000,0.0,27.9682084
14,2N2,0.013,296.7,27.8953548
15,OO1,0.010,352.5,16.1391017
16,LAM2,0.020,21.4,29.4556253
17,S1,0.075,283.1,15.0000000
18,M1,0.013,8.6,14.4966939
19,J1,0.016,332.6,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.174,47.9,0.0821373
22,SA,0.413,138.3,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.007,18.6,13.4715145
26,Q1,0.043,346.5,13.3986609
27,T2,0.003,7.0,29.9589333
28,R2,0.000,0.0,30.0410667
29,2Q1,0.020,298.7,12.8542862
30,P1,0.075,352.4,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.026,31.2,29.5284789
34,2MK3,0.000,0.0,42.9271398
35,K2,0.033,5.5,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
