Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.948,355.4,28.9841042
2,S2,0.381,17.8,30.0000000
3,N2,0.462,335.9,28.4397295
4,K1,0.362,183.2,15.0410686
5,M4,0.033,181.7,57.9682084
6,O1,0.246,166.1,13.9430356
7,M6,0.019,84.8,86.9523127
8,MK3,0.000,0.0,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.019,156.9,57.4238337
11,NU2,0.084,336.6,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.065,341.1,27.9682084
14,2N2,0.066,319.5,27.8953548
15,OO1,0.010,203.7,16.1391017
16,LAM2,0.018,13.6,29.4556253
17,S1,0.018,114.7,15.0000000
18,M1,0.014,214.4,14.4966939
19,J1,0.021,174.2,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.100,40.0,0.0821373
22,SA,0.233,145.5,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.009,158.8,13.4715145
26,Q1,0.038,168.7,13.3986609
27,T2,0.029,0.2,29.9589333
28,R2,0.003,18.7,30.0410667
29,2Q1,0.006,149.0,12.8542862
30,P1,0.109,178.5,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.021,37.5,43.4761563
33,L2,0.063,6.3,29.5284789
34,2MK3,0.011,33.2,42.9271398
35,K2,0.103,18.7,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
