Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.303,40.7,28.9841042
2,S2,0.507,76.8,30.0000000
3,N2,0.700,30.2,28.4397295
4,K1,0.277,221.3,15.0410686
5,M4,0.272,260.0,57.9682084
6,O1,0.267,218.3,13.9430356
7,M6,0.105,142.4,86.9523127
8,MK3,0.000,0.0,44.0251729
9,S4,0.019,97.8,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.136,31.6,28.5125831
12,S6,0.008,46.7,90.0000000
13,MU2,0.012,281.5,27.9682084
14,2N2,0.093,19.7,27.8953548
15,OO1,0.012,221.0,16.1391017
16,LAM2,0.023,57.4,29.4556253
17,S1,0.000,0.0,15.0000000
18,M1,0.019,219.0,14.4966939
19,J1,0.021,221.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.197,51.8,0.0821373
22,SA,0.276,176.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.010,217.7,13.4715145
26,Q1,0.052,217.6,13.3986609
27,T2,0.029,75.4,29.9589333
28,R2,0.004,78.3,30.0410667
29,2Q1,0.007,216.9,12.8542862
30,P1,0.092,221.1,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.092,51.3,29.5284789
34,2MK3,0.000,0.0,42.9271398
35,K2,0.138,79.7,30.0821373
36,M8,0.016,354.8,115.9364166
37,MS4,0.000,0.0,58.9841042
