Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.65,54.1,28.984104
2,S2,0.121,182.5,30
3,N2,0.236,8.4,28.43973
4,K1,0.617,23.9,15.041069
5,M4,0.115,37.4,57.96821
6,O1,0.459,0.7,13.943035
7,M6,0.007,113,86.95232
8,MK3,0,0,44.025173
9,S4,0.01,278,60
10,MN4,0,0,57.423832
11,NU2,0.046,14.5,28.512583
12,S6,0.003,324.5,90
13,MU2,0.016,283.7,27.968208
14,2N2,0.03,322.8,27.895355
15,OO1,0.02,47,16.139101
16,LAM2,0.003,114.7,29.455626
17,S1,0,0,15
18,M1,0.033,12.3,14.496694
19,J1,0.036,35.1,15.5854435
20,MM,0,0,0.5443747
21,SSA,0,0,0.0821373
22,SA,0,0,0.0410686
23,MSF,0,0,1.0158958
24,MF,0,0,1.0980331
25,RHO,0.016,351,13.471515
26,Q1,0.089,349.2,13.398661
27,T2,0.007,176.8,29.958933
28,R2,0,0,30.041067
29,2Q1,0.01,338.6,12.854286
30,P1,0.203,22.1,14.958931
31,2SM2,0,0,31.015896
32,M3,0,0,43.47616
33,L2,0.016,99.6,29.528479
34,2MK3,0,0,42.92714
35,K2,0.033,193,30.082138
36,M8,0.003,222.5,115.93642
37,MS4,0,0,58.984104
