Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.095,239.4,28.9841042
2,S2,0.505,253.2,30.0000000
3,N2,0.415,213.6,28.4397295
4,K1,1.200,239.3,15.0410686
5,M4,0.010,36.2,57.9682084
6,O1,0.735,225.6,13.9430356
7,M6,0.026,97.5,86.9523127
8,MK3,0.000,0.0,44.0251729
9,S4,0.005,5.4,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.081,217.0,28.5125831
12,S6,0.003,227.4,90.0000000
13,MU2,0.049,225.4,27.9682084
14,2N2,0.056,187.7,27.8953548
15,OO1,0.032,252.9,16.1391017
16,LAM2,0.014,245.8,29.4556253
17,S1,0.000,0.0,15.0000000
18,M1,0.051,232.5,14.4966939
19,J1,0.058,246.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.128,286.9,0.0821373
22,SA,0.125,221.4,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.028,219.7,13.4715145
26,Q1,0.143,218.9,13.3986609
27,T2,0.029,252.6,29.9589333
28,R2,0.003,254.0,30.0410667
29,2Q1,0.020,212.1,12.8542862
30,P1,0.397,238.2,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.059,265.1,29.5284789
34,2MK3,0.000,0.0,42.9271398
35,K2,0.137,254.3,30.0821373
36,M8,0.004,320.4,115.9364166
37,MS4,0.000,0.0,58.9841042
