Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.445,21.2,28.9841042
2,S2,0.468,51.2,30.0000000
3,N2,0.545,5.1,28.4397295
4,K1,0.349,182.9,15.0410686
5,M4,0.119,292.4,57.9682084
6,O1,0.173,179.3,13.9430356
7,M6,0.070,174.3,86.9523127
8,MK3,0.033,72.8,44.0251729
9,S4,0.045,44.5,60.0000000
10,MN4,0.055,291.5,57.4238337
11,NU2,0.111,1.6,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.095,38.1,27.9682084
14,2N2,0.069,345.0,27.8953548
15,OO1,0.010,204.5,16.1391017
16,LAM2,0.044,2.3,29.4556253
17,S1,0.043,139.6,15.0000000
18,M1,0.022,245.9,14.4966939
19,J1,0.015,204.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.103,58.4,0.0821373
22,SA,0.244,129.2,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.011,181.5,13.4715145
26,Q1,0.037,191.3,13.3986609
27,T2,0.044,30.4,29.9589333
28,R2,0.017,270.2,30.0410667
29,2Q1,0.004,175.7,12.8542862
30,P1,0.108,181.8,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.038,86.6,43.4761563
33,L2,0.086,10.2,29.5284789
34,2MK3,0.031,46.1,42.9271398
35,K2,0.132,47.9,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.060,284.9,58.9841042
