Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.661,113.6,28.9841042
2,S2,0.548,143.2,30.0000000
3,N2,0.732,91.6,28.4397295
4,K1,0.322,187.0,15.0410686
5,M4,0.082,137.1,57.9682084
6,O1,0.213,224.7,13.9430356
7,M6,0.092,160.4,86.9523127
8,MK3,0.000,0.0,44.0251729
9,S4,0.007,190.9,60.0000000
10,MN4,0.000,0.0,57.4238337
11,NU2,0.141,94.6,28.5125831
12,S6,0.003,203.9,90.0000000
13,MU2,0.089,83.9,27.9682084
14,2N2,0.095,69.6,27.8953548
15,OO1,0.010,149.1,16.1391017
16,LAM2,0.026,127.3,29.4556253
17,S1,0.000,0.0,15.0000000
18,M1,0.013,205.7,14.4966939
19,J1,0.016,168.3,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.072,61.2,0.0821373
22,SA,0.207,132.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.007,240.6,13.4715145
26,Q1,0.039,243.4,13.3986609
27,T2,0.033,142.0,29.9589333
28,R2,0.003,144.4,30.0410667
29,2Q1,0.007,262.5,12.8542862
30,P1,0.105,189.9,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.000,0.0,43.4761563
33,L2,0.102,135.6,29.5284789
34,2MK3,0.000,0.0,42.9271398
35,K2,0.148,145.6,30.0821373
36,M8,0.007,280.8,115.9364166
37,MS4,0.000,0.0,58.9841042
