Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.141,245.4,28.9841042
2,S2,0.046,251.6,30.0000000
3,N2,0.039,229.5,28.4397295
4,K1,0.374,45.2,15.0410686
5,M4,0.016,42.4,57.9682084
6,O1,0.367,38.8,13.9430356
7,M6,0.007,202.7,86.9523127
8,MK3,0.039,86.0,44.0251729
9,S4,0.003,263.2,60.0000000
10,MN4,0.010,39.8,57.4238337
11,NU2,0.007,218.2,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.013,170.6,27.9682084
14,2N2,0.023,96.6,27.8953548
15,OO1,0.036,83.6,16.1391017
16,LAM2,0.003,247.8,29.4556253
17,S1,0.016,325.0,15.0000000
18,M1,0.007,94.1,14.4966939
19,J1,0.026,71.1,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.023,45.0,13.4715145
26,Q1,0.095,20.6,13.3986609
27,T2,0.003,228.9,29.9589333
28,R2,0.003,25.9,30.0410667
29,2Q1,0.007,27.6,12.8542862
30,P1,0.118,45.9,14.9589314
31,2SM2,0.003,323.3,31.0158958
32,M3,0.010,96.7,43.4761563
33,L2,0.003,82.7,29.5284789
34,2MK3,0.039,74.1,42.9271398
35,K2,0.049,344.2,30.0821373
36,M8,0.003,50.9,115.9364166
37,MS4,0.010,48.1,58.9841042
