Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.807,123.1,28.9841042
2,S2,0.315,141.0,30.0000000
3,N2,0.151,120.3,28.4397295
4,K1,0.517,12.4,15.0410686
5,M4,0.031,76.0,57.9682084
6,O1,0.496,3.6,13.9430356
7,M6,0.000,0.0,86.9523127
8,MK3,0.011,331.7,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.016,51.0,57.4238337
11,NU2,0.032,121.6,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.000,0.0,27.9682084
14,2N2,0.017,110.1,27.8953548
15,OO1,0.017,4.7,16.1391017
16,LAM2,0.005,131.4,29.4556253
17,S1,0.044,93.8,15.0000000
18,M1,0.024,15.7,14.4966939
19,J1,0.032,20.8,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.120,48.2,0.0821373
22,SA,0.300,151.9,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.016,341.8,13.4715145
26,Q1,0.104,348.0,13.3986609
27,T2,0.024,119.1,29.9589333
28,R2,0.002,141.7,30.0410667
29,2Q1,0.016,340.8,12.8542862
30,P1,0.173,12.5,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.011,298.6,43.4761563
33,L2,0.024,143.1,29.5284789
34,2MK3,0.013,309.0,42.9271398
35,K2,0.090,134.6,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.021,90.5,58.9841042
