Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.044,63.1,28.9841042
2,S2,0.258,97.7,30.0000000
3,N2,0.412,51.0,28.4397295
4,K1,0.261,229.8,15.0410686
5,M4,0.177,6.9,57.9682084
6,O1,0.196,233.5,13.9430356
7,M6,0.107,284.2,86.9523127
8,MK3,0.044,109.8,44.0251729
9,S4,0.014,126.8,60.0000000
10,MN4,0.077,355.8,57.4238337
11,NU2,0.093,41.5,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.077,150.3,27.9682084
14,2N2,0.046,44.5,27.8953548
15,OO1,0.011,245.4,16.1391017
16,LAM2,0.063,56.6,29.4556253
17,S1,0.068,199.3,15.0000000
18,M1,0.010,221.8,14.4966939
19,J1,0.015,263.6,15.5854433
20,MM,0.074,16.3,0.5443747
21,SSA,0.166,24.9,0.0821373
22,SA,0.000,0.0,0.0410686
23,MSF,0.067,36.6,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.007,235.1,13.4715145
26,Q1,0.043,237.5,13.3986609
27,T2,0.029,82.5,29.9589333
28,R2,0.002,99.2,30.0410667
29,2Q1,0.005,237.2,12.8542862
30,P1,0.093,236.6,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.025,147.6,43.4761563
33,L2,0.187,58.9,29.5284789
34,2MK3,0.049,100.4,42.9271398
35,K2,0.074,95.0,30.0821373
36,M8,0.017,253.6,115.9364166
37,MS4,0.060,30.0,58.9841042
