Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.273,32.5,28.9841042
2,S2,0.223,56.3,30.0000000
3,N2,0.289,12.3,28.4397295
4,K1,0.194,193.4,15.0410686
5,M4,0.015,295.9,57.9682084
6,O1,0.152,213.6,13.9430356
7,M6,0.015,291.9,86.9523127
8,MK3,0.011,79.4,44.0251729
9,S4,0.000,0.0,60.0000000
10,MN4,0.011,271.5,57.4238337
11,NU2,0.058,12.0,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.029,21.8,27.9682084
14,2N2,0.041,356.8,27.8953548
15,OO1,0.011,215.1,16.1391017
16,LAM2,0.015,54.1,29.4556253
17,S1,0.022,100.8,15.0000000
18,M1,0.010,211.1,14.4966939
19,J1,0.012,200.2,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.127,37.6,0.0821373
22,SA,0.190,150.6,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.010,203.0,13.4715145
26,Q1,0.030,194.9,13.3986609
27,T2,0.019,44.2,29.9589333
28,R2,0.002,57.4,30.0410667
29,2Q1,0.004,233.5,12.8542862
30,P1,0.063,201.7,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.011,72.0,43.4761563
33,L2,0.058,47.4,29.5284789
34,2MK3,0.013,94.7,42.9271398
35,K2,0.063,57.0,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.000,0.0,58.9841042
