Constituent#,Name,Amplitude,Phase,Speed
1,M2,7.287,324.0,28.9841042
2,S2,2.724,358.3,30.0000000
3,N2,1.495,298.4,28.4397295
4,K1,1.848,279.8,15.0410686
5,M4,0.101,71.2,57.9682084
6,O1,1.129,263.6,13.9430356
7,M6,0.052,194.7,86.9523127
8,MK3,0.060,199.5,44.0251729
9,S4,0.016,137.0,60.0000000
10,MN4,0.037,42.0,57.4238337
11,NU2,0.252,302.2,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.295,275.8,27.9682084
14,2N2,0.170,267.7,27.8953548
15,OO1,0.061,314.4,16.1391017
16,LAM2,0.030,304.2,29.4556253
17,S1,0.046,52.5,15.0000000
18,M1,0.066,297.0,14.4966939
19,J1,0.105,295.0,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.414,250.2,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.075,171.7,1.0980331
25,RHO,0.038,250.4,13.4715145
26,Q1,0.203,255.8,13.3986609
27,T2,0.147,351.9,29.9589333
28,R2,0.029,7.7,30.0410667
29,2Q1,0.023,248.3,12.8542862
30,P1,0.586,277.9,14.9589314
31,2SM2,0.026,92.5,31.0158958
32,M3,0.032,7.5,43.4761563
33,L2,0.112,332.4,29.5284789
34,2MK3,0.090,180.9,42.9271398
35,K2,0.745,350.3,30.0821373
36,M8,0.012,350.2,115.9364166
37,MS4,0.087,117.5,58.9841042
