Constituent#,Name,Amplitude,Phase,Speed
1,M2,1.765,5.0,28.9841042
2,S2,0.382,27.1,30.0000000
3,N2,0.437,349.4,28.4397295
4,K1,0.211,165.1,15.0410686
5,M4,0.218,48.9,57.9682084
6,O1,0.159,198.2,13.9430356
7,M6,0.025,270.9,86.9523127
8,MK3,0.033,21.4,44.0251729
9,S4,0.025,10.3,60.0000000
10,MN4,0.099,0.6,57.4238337
11,NU2,0.074,344.7,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.086,351.2,27.9682084
14,2N2,0.066,339.0,27.8953548
15,OO1,0.013,166.1,16.1391017
16,LAM2,0.012,15.2,29.4556253
17,S1,0.040,128.5,15.0000000
18,M1,0.010,175.2,14.4966939
19,J1,0.015,200.6,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.196,131.8,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.006,212.4,13.4715145
26,Q1,0.041,183.0,13.3986609
27,T2,0.032,6.8,29.9589333
28,R2,0.003,28.0,30.0410667
29,2Q1,0.004,230.9,12.8542862
30,P1,0.076,185.7,14.9589314
31,2SM2,0.011,29.2,31.0158958
32,M3,0.022,25.4,43.4761563
33,L2,0.059,336.7,29.5284789
34,2MK3,0.044,356.5,42.9271398
35,K2,0.103,25.8,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.056,129.2,58.9841042
