Constituent#,Name,Amplitude,Phase,Speed
1,M2,3.618,116.2,28.9841042
2,S2,0.602,142.2,30.0000000
3,N2,0.734,94.3,28.4397295
4,K1,0.324,193.1,15.0410686
5,M4,0.118,147.3,57.9682084
6,O1,0.211,220.7,13.9430356
7,M6,0.254,160.0,86.9523127
8,MK3,0.036,207.6,44.0251729
9,S4,0.014,146.3,60.0000000
10,MN4,0.069,121.9,57.4238337
11,NU2,0.164,95.0,28.5125831
12,S6,0.000,0.0,90.0000000
13,MU2,0.014,96.1,27.9682084
14,2N2,0.087,72.9,27.8953548
15,OO1,0.020,232.3,16.1391017
16,LAM2,0.076,139.5,29.4556253
17,S1,0.027,116.2,15.0000000
18,M1,0.024,263.1,14.4966939
19,J1,0.021,235.8,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.080,60.1,0.0821373
22,SA,0.213,135.5,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.014,254.8,13.4715145
26,Q1,0.060,206.2,13.3986609
27,T2,0.058,117.0,29.9589333
28,R2,0.005,143.3,30.0410667
29,2Q1,0.014,224.2,12.8542862
30,P1,0.094,206.1,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.017,216.7,43.4761563
33,L2,0.170,140.9,29.5284789
34,2MK3,0.025,215.6,42.9271398
35,K2,0.176,141.3,30.0821373
36,M8,0.023,150.3,115.9364166
37,MS4,0.025,160.7,58.9841042
