Constituent#,Name,Amplitude,Phase,Speed
1,M2,0.054,18.1,28.9841042
2,S2,0.023,0.5,30.0000000
3,N2,0.008,85.0,28.4397295
4,K1,0.271,231.8,15.0410686
5,M4,0.008,281.3,57.9682084
6,O1,0.201,227.8,13.9430356
7,M6,0.001,227.8,86.9523127
8,MK3,0.002,275.6,44.0251729
9,S4,0.003,81.1,60.0000000
10,MN4,0.003,192.2,57.4238337
11,NU2,0.005,51.7,28.5125831
12,S6,0.003,65.6,90.0000000
13,MU2,0.007,132.7,27.9682084
14,2N2,0.003,84.4,27.8953548
15,OO1,0.011,240.3,16.1391017
16,LAM2,0.001,326.4,29.4556253
17,S1,0.013,215.8,15.0000000
18,M1,0.012,257.0,14.4966939
19,J1,0.017,230.5,15.5854433
20,MM,0.020,318.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.176,184.5,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.051,352.9,1.0980331
25,RHO,0.009,216.4,13.4715145
26,Q1,0.036,211.7,13.3986609
27,T2,0.002,168.9,29.9589333
28,R2,0.002,123.9,30.0410667
29,2Q1,0.005,204.0,12.8542862
30,P1,0.084,231.3,14.9589314
31,2SM2,0.002,103.5,31.0158958
32,M3,0.004,51.6,43.4761563
33,L2,0.004,50.3,29.5284789
34,2MK3,0.002,276.1,42.9271398
35,K2,0.009,336.6,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.004,356.5,58.9841042
