Constituent#,Name,Amplitude,Phase,Speed
1,M2,2.015,8.7,28.9841042
2,S2,0.429,31.1,30.0000000
3,N2,0.495,353.5,28.4397295
4,K1,0.229,168.9,15.0410686
5,M4,0.333,64.8,57.9682084
6,O1,0.172,200.3,13.9430356
7,M6,0.071,335.4,86.9523127
8,MK3,0.043,29.8,44.0251729
9,S4,0.037,29.3,60.0000000
10,MN4,0.146,15.0,57.4238337
11,NU2,0.081,348.5,28.5125831
12,S6,0.011,338.6,90.0000000
13,MU2,0.097,0.2,27.9682084
14,2N2,0.070,341.1,27.8953548
15,OO1,0.013,172.6,16.1391017
16,LAM2,0.013,341.6,29.4556253
17,S1,0.056,124.7,15.0000000
18,M1,0.013,183.3,14.4966939
19,J1,0.023,205.3,15.5854433
20,MM,0.000,0.0,0.5443747
21,SSA,0.000,0.0,0.0821373
22,SA,0.196,131.8,0.0410686
23,MSF,0.000,0.0,1.0158958
24,MF,0.000,0.0,1.0980331
25,RHO,0.006,213.8,13.4715145
26,Q1,0.043,182.2,13.3986609
27,T2,0.037,17.1,29.9589333
28,R2,0.003,32.1,30.0410667
29,2Q1,0.004,231.5,12.8542862
30,P1,0.086,185.1,14.9589314
31,2SM2,0.000,0.0,31.0158958
32,M3,0.032,35.9,43.4761563
33,L2,0.067,344.4,29.5284789
34,2MK3,0.058,9.9,42.9271398
35,K2,0.118,30.2,30.0821373
36,M8,0.000,0.0,115.9364166
37,MS4,0.089,149.6,58.9841042
